2026-02-01 10:19:14 - MultiModalDetection - INFO - Device: cuda
2026-02-01 10:19:14 - MultiModalDetection - INFO - GPU: NVIDIA GeForce RTX 3060
2026-02-01 10:19:14 - MultiModalDetection - INFO - CUDA Version: 12.4
2026-02-01 10:19:14 - MultiModalDetection - INFO - ======================================================================
2026-02-01 10:19:14 - MultiModalDetection - INFO - TRAINING CONFIGURATION
2026-02-01 10:19:14 - MultiModalDetection - INFO - ======================================================================
2026-02-01 10:19:14 - MultiModalDetection - INFO - Root Directory: F:\Work\DeepLearning\Research\V2X-Radar-V
2026-02-01 10:19:14 - MultiModalDetection - INFO - Batch Size: 2
2026-02-01 10:19:14 - MultiModalDetection - INFO - Number of Epochs: 100
2026-02-01 10:19:14 - MultiModalDetection - INFO - Learning Rate: 0.0001
2026-02-01 10:19:14 - MultiModalDetection - INFO - Number of Samples: 500
2026-02-01 10:19:14 - MultiModalDetection - INFO - ======================================================================
2026-02-01 10:19:14 - MultiModalDetection - INFO - Loading dataset...
2026-02-01 10:19:34 - MultiModalDetection - INFO - Dataset loaded: 500 samples
2026-02-01 10:19:34 - MultiModalDetection - INFO - Initializing model...
2026-02-01 10:19:36 - MultiModalDetection - INFO - ======================================================================
2026-02-01 10:19:36 - MultiModalDetection - INFO - ======================================================================
2026-02-01 10:19:36 - MultiModalDetection - INFO - Model parameters: 20,548,960
2026-02-01 10:19:36 - MultiModalDetection - INFO - 
2026-02-01 10:19:36 - MultiModalDetection - INFO - This forces spconv to use a stable algorithm that works for all voxel counts.
2026-02-01 10:19:36 - MultiModalDetection - INFO - 
2026-02-01 10:19:36 - MultiModalDetection - INFO - Starting training from epoch 5...
2026-02-01 10:19:36 - MultiModalDetection - INFO - 
Epoch 1 | Time 1186s | mAP@0.5 0.0000 | Loss 126.7478 | CLS 0.7411 | REG 24.5428
Epoch 2 | Time 208s | mAP@0.5 0.0000 | Loss 1000.9181 | CLS 0.0208 | REG 200.1628
Epoch 3 | Time 11s | mAP@0.5 0.0000 | Loss 18.3473 | CLS 0.3970 | REG 3.0042
Epoch 4 | Time 0s | mAP@0.5 0.0000 | Loss 125.3942 | CLS 0.2199 | REG 23.9938
Epoch 5 | Time 0s | mAP@0.5 0.0000 | Loss 35.2898 | CLS 0.0890 | REG 6.5514
Epoch 6 | Time 0s | mAP@0.5 0.0000 | Loss 12.7963 | CLS 0.0470 | REG 2.3191
Epoch 7 | Time 0s | mAP@0.5 0.0000 | Loss 5.3376 | CLS 0.0191 | REG 0.9183
Epoch 8 | Time 0s | mAP@0.5 0.0000 | Loss 20.9414 | CLS 0.0284 | REG 3.8416
Epoch 9 | Time 0s | mAP@0.5 0.0000 | Loss 3.8040 | CLS 0.0150 | REG 0.6749
Epoch 10 | Time 1s | mAP@0.5 0.0000 | Loss 3.2284 | CLS 0.0147 | REG 0.5594
Epoch 11 | Time 0s | mAP@0.5 0.0000 | Loss 49.3938 | CLS 0.0560 | REG 8.8226
Epoch 12 | Time 0s | mAP@0.5 0.0000 | Loss 27.1187 | CLS 0.0380 | REG 4.8333
Epoch 13 | Time 0s | mAP@0.5 0.0000 | Loss 3.6056 | CLS 0.0180 | REG 0.6024
Epoch 14 | Time 1s | mAP@0.5 0.0000 | Loss 3.4279 | CLS 0.0153 | REG 0.5891
Epoch 15 | Time 1s | mAP@0.5 0.0000 | Loss 3.6744 | CLS 0.0145 | REG 0.6443
Epoch 16 | Time 0s | mAP@0.5 0.0000 | Loss 18.0541 | CLS 0.0267 | REG 3.2545
Epoch 17 | Time 1s | mAP@0.5 0.0000 | Loss 3.4681 | CLS 0.0151 | REG 0.6197
Epoch 18 | Time 1s | mAP@0.5 0.0000 | Loss 3.1600 | CLS 0.0141 | REG 0.5678
Epoch 19 | Time 0s | mAP@0.5 0.0000 | Loss 2.8477 | CLS 0.0143 | REG 0.5169
Epoch 20 | Time 0s | mAP@0.5 0.0000 | Loss 2.3899 | CLS 0.0146 | REG 0.4347
Epoch 21 | Time 0s | mAP@0.5 0.0000 | Loss 1.6944 | CLS 0.0152 | REG 0.2978
Epoch 22 | Time 0s | mAP@0.5 0.0000 | Loss 5.4733 | CLS 0.0185 | REG 0.9753
Epoch 23 | Time 0s | mAP@0.5 0.0000 | Loss 2.2272 | CLS 0.0161 | REG 0.3942
Epoch 24 | Time 0s | mAP@0.5 0.0000 | Loss 2.1548 | CLS 0.0162 | REG 0.3783
Epoch 25 | Time 1s | mAP@0.5 0.0000 | Loss 1.5227 | CLS 0.0161 | REG 0.2565
Epoch 26 | Time 1s | mAP@0.5 0.0000 | Loss 1.4331 | CLS 0.0158 | REG 0.2469
Epoch 27 | Time 1s | mAP@0.5 0.0000 | Loss 1.7770 | CLS 0.0157 | REG 0.3224
Epoch 28 | Time 0s | mAP@0.5 0.0000 | Loss 1.8415 | CLS 0.0158 | REG 0.3351
Epoch 29 | Time 0s | mAP@0.5 0.0000 | Loss 1.6573 | CLS 0.0158 | REG 0.2950
Epoch 30 | Time 1s | mAP@0.5 0.0000 | Loss 1.3093 | CLS 0.0159 | REG 0.2210
Epoch 31 | Time 1s | mAP@0.5 0.0000 | Loss 1.2914 | CLS 0.0160 | REG 0.2167
Epoch 32 | Time 1s | mAP@0.5 0.0000 | Loss 1.3193 | CLS 0.0159 | REG 0.2252
Epoch 33 | Time 1s | mAP@0.5 0.0000 | Loss 1.2027 | CLS 0.0157 | REG 0.2065
Epoch 34 | Time 0s | mAP@0.5 0.0000 | Loss 1.2201 | CLS 0.0153 | REG 0.2130
Epoch 35 | Time 1s | mAP@0.5 0.0000 | Loss 1.2779 | CLS 0.0152 | REG 0.2241
Epoch 36 | Time 1s | mAP@0.5 0.0000 | Loss 1.0532 | CLS 0.0151 | REG 0.1767
Epoch 37 | Time 0s | mAP@0.5 0.0000 | Loss 1.1376 | CLS 0.0151 | REG 0.1920
Epoch 38 | Time 0s | mAP@0.5 0.0000 | Loss 1.0298 | CLS 0.0149 | REG 0.1712
Epoch 39 | Time 0s | mAP@0.5 0.0000 | Loss 1.0342 | CLS 0.0147 | REG 0.1744
Epoch 40 | Time 0s | mAP@0.5 0.0000 | Loss 0.9460 | CLS 0.0146 | REG 0.1587
Epoch 41 | Time 0s | mAP@0.5 0.0000 | Loss 0.9726 | CLS 0.0147 | REG 0.1629
Epoch 42 | Time 0s | mAP@0.5 0.0000 | Loss 0.8624 | CLS 0.0143 | REG 0.1419
Epoch 43 | Time 0s | mAP@0.5 0.0000 | Loss 0.9419 | CLS 0.0143 | REG 0.1568
Epoch 44 | Time 0s | mAP@0.5 0.0000 | Loss 0.9477 | CLS 0.0141 | REG 0.1579
Epoch 45 | Time 0s | mAP@0.5 0.0000 | Loss 0.9732 | CLS 0.0140 | REG 0.1638
Epoch 46 | Time 0s | mAP@0.5 0.0000 | Loss 0.8244 | CLS 0.0140 | REG 0.1350
Epoch 47 | Time 0s | mAP@0.5 0.0000 | Loss 0.9207 | CLS 0.0140 | REG 0.1547
Epoch 48 | Time 0s | mAP@0.5 0.0000 | Loss 0.9237 | CLS 0.0142 | REG 0.1551
Epoch 49 | Time 0s | mAP@0.5 0.0000 | Loss 0.8631 | CLS 0.0141 | REG 0.1426
Epoch 50 | Time 0s | mAP@0.5 0.0000 | Loss 0.8875 | CLS 0.0140 | REG 0.1473
Epoch 51 | Time 1s | mAP@0.5 0.0000 | Loss 0.8531 | CLS 0.0139 | REG 0.1407
